neutral,selected
3902080.960444201,16042984.710390445
5425.817193316091,9954.680561765184
2730.363908480644,4139.73331702976
1966.1955943242654,2771.570024610769
1535.161861200537,2149.251998156537
1330.527718251795,1752.2904924846187
1166.7164406035618,1505.9178737197058
1063.296180687953,1320.532363318862
936.7510861053903,1140.6832345084329
837.1918476852683,1037.1960485643078
762.6002146876511,926.6372399863335
703.0277720618857,866.5805500661455
658.5050958674276,785.96126622626
633.973265152576,732.6725531023033
597.7139649547876,683.194235749174
528.9924749337251,625.157676108146
489.3520418739178,577.1339119252169
465.7073106616297,535.8753442129666
384.74692064793186,460.3635987271109
330.0959594093563,422.1600241858251
0.0,0.0
